maquinaPropietariaSchedule, maquina, operacion, horaInicio, horaFin, ubicacion, cantidadMaterial, horaInicioHHMMSS, horaFinHHMSS, duracionActividad, tiempoInactivoDesdeActividadAnterior
Truck5,,VIAJE_VACIO,9696722,10674893,#UB1_4390_EST,0.0,2:41:36,2:57:54,978171,180432
Truck5,PA04,CARGA,10674893,10839669,#UB1_4390_EST,373.0,2:57:54,3:0:39,164776,0
Truck5,,VIAJE_CARGADO,10839669,12551468,#UB1_TRANQUEESPA_EST,373.0,3:0:39,3:29:11,1711799,0
Truck5,,DESCARGA,12551468,12600468,#UB1_TRANQUEESPA_EST,373.0,3:29:11,3:30:0,49000,0
PA04,Truck5,CARGA,10674893,10839669,#UB1_4390_EST,373.0,2:57:54,3:0:39,164776,0
Truck4,,VIAJE_VACIO,9861498,10839669,#UB1_4390_EST,0.0,2:44:21,3:0:39,978171,260946
Truck4,PA04,CARGA,10839669,11004445,#UB1_4390_EST,373.0,3:0:39,3:3:24,164776,0
Truck4,,VIAJE_CARGADO,11004445,12634730,#UB1_TRANQUEESPA_EST,373.0,3:3:24,3:30:34,1630285,0
Truck4,,DESCARGA,12634730,12684730,#UB1_TRANQUEESPA_EST,373.0,3:30:34,3:31:24,50000,0
PA04,Truck4,CARGA,10839669,11004445,#UB1_4390_EST,373.0,3:0:39,3:3:24,164776,0
Truck9,,VIAJE_VACIO,9202551,11004445,#UB1_4390_EST,0.0,2:33:22,3:3:24,1801894,276150
Truck9,PA04,CARGA,11004445,11148624,#UB1_4390_EST,300.0,3:3:24,3:5:48,144179,0
Truck9,,VIAJE_CARGADO,11148624,13050623,#UB1_TRANQUEESPA_EST,300.0,3:5:48,3:37:30,1901999,0
Truck9,,DESCARGA,13050623,13081623,#UB1_TRANQUEESPA_EST,300.0,3:37:30,3:38:1,31000,0
PA04,Truck9,CARGA,11004445,11148624,#UB1_4390_EST,300.0,3:3:24,3:5:48,144179,0
Truck10,,VIAJE_VACIO,9246624,11148624,#UB1_4390_EST,0.0,2:34:6,3:5:48,1902000,1289
Truck10,PA04,CARGA,11148624,11292803,#UB1_4390_EST,300.0,3:5:48,3:8:12,144179,0
Truck10,,VIAJE_CARGADO,11292803,13004602,#UB1_TRANQUEESPA_EST,300.0,3:8:12,3:36:44,1711799,0
Truck10,,DESCARGA,13004602,13091602,#UB1_TRANQUEESPA_EST,300.0,3:36:44,3:38:11,87000,0
PA04,Truck10,CARGA,11148624,11292803,#UB1_4390_EST,300.0,3:5:48,3:8:12,144179,0
Truck13,,VIAJE_VACIO,9923363,11292803,#UB1_4390_EST,0.0,2:45:23,3:8:12,1369440,6023
Truck13,PA04,CARGA,11292803,11436982,#UB1_4390_EST,300.0,3:8:12,3:10:36,144179,0
Truck13,,VIAJE_CARGADO,11436982,13238876,#UB1_TRANQUEESPA_EST,300.0,3:10:36,3:40:38,1801894,0
Truck13,,DESCARGA,13238876,13289876,#UB1_TRANQUEESPA_EST,300.0,3:40:38,3:41:29,51000,0
PA04,Truck13,CARGA,11292803,11436982,#UB1_4390_EST,300.0,3:8:12,3:10:36,144179,0
Truck12,,VIAJE_VACIO,10067542,11436982,#UB1_4390_EST,0.0,2:47:47,3:10:36,1369440,691028
Truck12,PA04,CARGA,11436982,11581161,#UB1_4390_EST,300.0,3:10:36,3:13:1,144179,0
Truck12,,VIAJE_CARGADO,11581161,13292960,#UB1_TRANQUEESPA_EST,300.0,3:13:1,3:41:32,1711799,0
Truck12,,DESCARGA,13292960,13366960,#UB1_TRANQUEESPA_EST,300.0,3:41:32,3:42:46,74000,0
PA04,Truck12,CARGA,11436982,11581161,#UB1_4390_EST,300.0,3:10:36,3:13:1,144179,0
Truck1,,VIAJE_VACIO,10512640,12001161,#UB1_4390_EST,0.0,2:55:12,3:20:1,1488521,50240
Truck1,PA04,CARGA,12001161,12145340,#UB1_4390_EST,300.0,3:20:1,3:22:25,144179,0
Truck1,,VIAJE_CARGADO,12145340,14047339,#UB1_TRANQUEESPA_EST,300.0,3:22:25,3:54:7,1901999,0
Truck1,,DESCARGA,14047339,14114339,#UB1_TRANQUEESPA_EST,300.0,3:54:7,3:55:14,67000,0
PA04,Truck1,CARGA,12001161,12145340,#UB1_4390_EST,300.0,3:20:1,3:22:25,144179,420000
Truck3,,VIAJE_VACIO,9862940,12145340,#UB1_4390_EST,0.0,2:44:22,3:22:25,2282400,166219
Truck3,PA04,CARGA,12145340,12310116,#UB1_4390_EST,373.0,3:22:25,3:25:10,164776,0
