maquinaPropietariaSchedule, maquina, operacion, horaInicio, horaFin, ubicacion, cantidadMaterial, horaInicioHHMMSS, horaFinHHMSS, duracionActividad, tiempoInactivoDesdeActividadAnterior
PA03,Truck13,CARGA,8504992,8721008,#UB1_4390_EST,300.0,2:21:44,2:25:21,216016,240000
Truck0,,VIAJE_VACIO,7548008,8841008,#UB1_4390_EST,0.0,2:5:48,2:27:21,1293000,9105
Truck0,PA03,CARGA,8841008,9057024,#UB1_4390_EST,300.0,2:27:21,2:30:57,216016,0
Truck0,,VIAJE_CARGADO,9057024,10781023,#UB1_TRANQUEBERM_EST,300.0,2:30:57,2:59:41,1723999,0
Truck0,,DESCARGA,10781023,10839023,#UB1_TRANQUEBERM_EST,300.0,2:59:41,3:0:39,58000,0
PA03,Truck0,CARGA,8841008,9057024,#UB1_4390_EST,300.0,2:27:21,2:30:57,216016,120000
Truck8,,VIAJE_VACIO,6511824,9057024,#UB1_4390_EST,0.0,1:48:31,2:30:57,2545200,1026830
Truck8,PA03,CARGA,9057024,9273040,#UB1_4390_EST,300.0,2:30:57,2:34:33,216016,0
Truck8,,VIAJE_CARGADO,9273040,10906303,#UB1_TRANQUEBERM_EST,300.0,2:34:33,3:1:46,1633263,0
Truck8,,DESCARGA,10906303,10966303,#UB1_TRANQUEBERM_EST,300.0,3:1:46,3:2:46,60000,0
PA03,Truck8,CARGA,9057024,9273040,#UB1_4390_EST,300.0,2:30:57,2:34:33,216016,0
Truck6,,VIAJE_VACIO,6715574,9333040,#UB1_4390_EST,0.0,1:51:55,2:35:33,2617466,756519
Truck6,PA03,CARGA,9333040,9603060,#UB1_4390_EST,373.0,2:35:33,2:40:3,270020,0
Truck6,,VIAJE_CARGADO,9603060,11080774,#UB1_TRANQUEBERM_EST,373.0,2:40:3,3:4:40,1477714,0
Truck6,,DESCARGA,11080774,11124774,#UB1_TRANQUEBERM_EST,373.0,3:4:40,3:5:24,44000,0
PA03,Truck6,CARGA,9333040,9603060,#UB1_4390_EST,373.0,2:35:33,2:40:3,270020,60000
Truck11,,VIAJE_VACIO,8693727,9843060,#UB1_4390_EST,0.0,2:24:53,2:44:3,1149333,32544
Truck11,PA03,CARGA,9843060,10059076,#UB1_4390_EST,300.0,2:44:3,2:47:39,216016,0
Truck11,,VIAJE_CARGADO,10059076,11692339,#UB1_TRANQUEBERM_EST,300.0,2:47:39,3:14:52,1633263,0
Truck11,,DESCARGA,11692339,11727339,#UB1_TRANQUEBERM_EST,300.0,3:14:52,3:15:27,35000,0
PA03,Truck11,CARGA,9843060,10059076,#UB1_4390_EST,300.0,2:44:3,2:47:39,216016,240000
Truck4,,VIAJE_VACIO,9172448,10059076,#UB1_4390_EST,0.0,2:32:52,2:47:39,886628,81794
Truck4,PA03,CARGA,10059076,10329096,#UB1_4390_EST,373.0,2:47:39,2:52:9,270020,0
Truck4,,VIAJE_CARGADO,10329096,11806810,#UB1_TRANQUEBERM_EST,373.0,2:52:9,3:16:46,1477714,0
Truck4,,DESCARGA,11806810,11856810,#UB1_TRANQUEBERM_EST,373.0,3:16:46,3:17:36,50000,0
PA03,Truck4,CARGA,10059076,10329096,#UB1_4390_EST,373.0,2:47:39,2:52:9,270020,0
Truck5,,VIAJE_VACIO,9682468,10569096,#UB1_4390_EST,0.0,2:41:22,2:56:9,886628,32893
Truck5,PA03,CARGA,10569096,10839116,#UB1_4390_EST,373.0,2:56:9,3:0:39,270020,0
Truck5,,VIAJE_CARGADO,10839116,12390715,#UB1_TRANQUEBERM_EST,373.0,3:0:39,3:26:30,1551599,0
Truck5,,DESCARGA,12390715,12439715,#UB1_TRANQUEBERM_EST,373.0,3:26:30,3:27:19,49000,0
PA03,Truck5,CARGA,10569096,10839116,#UB1_4390_EST,373.0,2:56:9,3:0:39,270020,240000
Truck1,,VIAJE_VACIO,7766438,10839116,#UB1_4390_EST,0.0,2:9:26,3:0:39,3072678,1055689
Truck1,PA03,CARGA,10839116,11055132,#UB1_4390_EST,300.0,3:0:39,3:4:15,216016,0
Truck1,,VIAJE_CARGADO,11055132,12779131,#UB1_TRANQUEBERM_EST,300.0,3:4:15,3:32:59,1723999,0
Truck1,,DESCARGA,12779131,12846131,#UB1_TRANQUEBERM_EST,300.0,3:32:59,3:34:6,67000,0
PA03,Truck1,CARGA,10839116,11055132,#UB1_4390_EST,300.0,3:0:39,3:4:15,216016,0
Truck12,,VIAJE_VACIO,9813852,11055132,#UB1_4390_EST,0.0,2:43:33,3:4:15,1241280,409297
Truck12,PA03,CARGA,11055132,11271148,#UB1_4390_EST,300.0,3:4:15,3:7:51,216016,0
Truck12,,VIAJE_CARGADO,11271148,12822747,#UB1_TRANQUEBERM_EST,300.0,3:7:51,3:33:42,1551599,0
Truck12,,DESCARGA,12822747,12896747,#UB1_TRANQUEBERM_EST,300.0,3:33:42,3:34:56,74000,0
PA03,Truck12,CARGA,11055132,11271148,#UB1_4390_EST,300.0,3:4:15,3:7:51,216016,0
Truck14,,VIAJE_VACIO,6078579,7802579,#UB1_4390_EST,0.0,1:41:18,2:10:2,1724000,401500
Truck14,PA04,CARGA,7802579,7946758,#UB1_4390_EST,300.0,2:10:2,2:12:26,144179,0
Truck14,,VIAJE_CARGADO,7946758,9748652,#UB1_TRANQUEESPA_EST,300.0,2:12:26,2:42:28,1801894,0
Truck14,,DESCARGA,9748652,9823652,#UB1_TRANQUEESPA_EST,300.0,2:42:28,2:43:43,75000,0
PA04,Truck14,CARGA,7802579,7946758,#UB1_4390_EST,300.0,2:10:2,2:12:26,144179,4440000
Truck9,,VIAJE_VACIO,10057885,11691148,#UB1_4390_EST,0.0,2:47:37,3:14:51,1633263,37894
Truck9,PA03,CARGA,11691148,11907164,#UB1_4390_EST,300.0,3:14:51,3:18:27,216016,0
Truck9,,VIAJE_CARGADO,11907164,13631163,#UB1_TRANQUEBERM_EST,300.0,3:18:27,3:47:11,1723999,0
Truck9,,DESCARGA,13631163,13662163,#UB1_TRANQUEBERM_EST,300.0,3:47:11,3:47:42,31000,0
PA03,Truck9,CARGA,11691148,11907164,#UB1_4390_EST,300.0,3:14:51,3:18:27,216016,420000
Truck13,,VIAJE_VACIO,10665884,11907164,#UB1_4390_EST,0.0,2:57:45,3:18:27,1241280,260613
Truck13,PA03,CARGA,11907164,12123180,#UB1_4390_EST,300.0,3:18:27,3:22:3,216016,0
Truck13,,VIAJE_CARGADO,12123180,13756443,#UB1_TRANQUEBERM_EST,300.0,3:22:3,3:49:16,1633263,0
Truck13,,DESCARGA,13756443,13807443,#UB1_TRANQUEBERM_EST,300.0,3:49:16,3:50:7,51000,0
PA03,Truck13,CARGA,11907164,12123180,#UB1_4390_EST,300.0,3:18:27,3:22:3,216016,0
